participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.decision,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,pviy7mxg,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.563991+00:00,1,,,-4,1,,-4,C,80,1,i66tivdp,,,,,0
2,8bmn8okh,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.597457+00:00,1,,,-1,2,,-1,C,20,1,i66tivdp,,,,,0
3,h1dv31vp,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.622896+00:00,1,,,-3,1,,-3,D,4,1,i66tivdp,,,,,0
4,wy9s9h3o,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.650739+00:00,1,,,-1,2,,-1,C,1,1,i66tivdp,,,,,0
5,zahyd6fm,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.677964+00:00,1,,,0,1,,0,D,28,1,i66tivdp,,,,,0
6,8zbs68d8,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.706617+00:00,1,,,0,2,,0,D,100,1,i66tivdp,,,,,0
7,ot8vdxrd,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.776151+00:00,1,,,0,1,,0,D,52,1,i66tivdp,,,,,0
8,14t7ddyl,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.803018+00:00,1,,,-3,2,,-3,D,99,1,i66tivdp,,,,,0
9,ckeuhv46,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.830570+00:00,1,,,-1,1,,-1,C,43,1,i66tivdp,,,,,0
10,v8l22pa0,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.853032+00:00,1,,,-4,2,,-4,C,30,1,i66tivdp,,,,,0
11,se5whp4n,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.877218+00:00,1,,,-4,1,,-4,C,39,1,i66tivdp,,,,,0
12,v6cwqyjj,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.906207+00:00,1,,,-3,2,,-3,D,4,1,i66tivdp,,,,,0
13,xo1te8su,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.929716+00:00,1,,,-3,1,,-3,D,95,1,i66tivdp,,,,,0
14,d0r59c3s,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.950384+00:00,1,,,-4,2,,-4,C,81,1,i66tivdp,,,,,0
15,ydo75dkq,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:30.976422+00:00,1,,,0,1,,0,D,73,1,i66tivdp,,,,,0
16,1bclkvu6,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.000662+00:00,1,,,-4,2,,-4,C,93,1,i66tivdp,,,,,0
17,po7uif5r,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.023021+00:00,1,,,-3,1,,-3,D,34,1,i66tivdp,,,,,0
18,8a6na7o4,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.049159+00:00,1,,,-1,2,,-1,C,49,1,i66tivdp,,,,,0
19,vytf6vta,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.074416+00:00,1,,,-3,1,,-3,D,42,1,i66tivdp,,,,,0
20,77949ugg,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.098868+00:00,1,,,-4,2,,-4,C,17,1,i66tivdp,,,,,0
21,zucm7sxo,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.120269+00:00,1,,,-1,1,,-1,C,56,1,i66tivdp,,,,,0
22,6g9q06vf,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.147166+00:00,1,,,-1,2,,-1,C,50,1,i66tivdp,,,,,0
